# Time-averaged data for fix mNm2
# TimeStep v_ETens v_SZZ v_SXX v_Fx v_Fy v_Fz v_strain v_ETens v_diameter
1100 26.0433 29009.2 38705.3 -1.16703e-15 3.35518e-18 -4.92977e-16 -2.85534 26.0433 -14.249
1200 26.0466 30056.4 38985.5 -1.19632e-15 5.68424e-18 -5.05427e-16 -2.85859 26.0466 -14.274
1300 26.0498 31155.5 39272.6 -1.21816e-15 3.35498e-18 -5.17105e-16 -2.86185 26.0498 -14.299
1400 26.0531 32305.7 39566 -1.24157e-15 5.13109e-18 -5.5269e-16 -2.8651 26.0531 -14.324
1500 26.0563 33505.5 39865.5 -1.201e-15 -7.66262e-18 -4.70316e-16 -2.86836 26.0563 -14.349
1600 26.0596 34752.8 40170.4 -1.01643e-15 2.03735e-18 -4.47835e-16 -2.87161 26.0596 -14.374
1700 26.0628 36044.9 40480.1 -8.97035e-16 4.57616e-18 -4.6772e-16 -2.87487 26.0628 -14.399
1800 26.0661 37378.3 40793.9 -9.10836e-16 -9.54469e-19 -4.54032e-16 -2.87812 26.0661 -14.424
1900 26.0694 38749.1 41110.7 -8.97354e-16 1.54062e-18 -4.73104e-16 -2.88138 26.0694 -14.449
2000 26.0726 40152.7 41429.8 -9.00994e-16 3.27729e-19 -4.6384e-16 -2.88463 26.0726 -14.474
2100 26.0759 41584.1 41750 -9.02614e-16 8.03547e-19 -4.71187e-16 -2.88789 26.0759 -14.499
2200 26.0791 43037.9 42070.5 -8.08605e-16 -2.37114e-18 -4.08654e-16 -2.89114 26.0791 -14.524
2300 26.0824 44508.3 42390.1 -7.48531e-16 1.08283e-18 -4.1511e-16 -2.8944 26.0824 -14.549
2400 26.0856 45989.3 42707.9 -9.05238e-16 -6.34314e-18 -5.191e-16 -2.89765 26.0856 -14.574
2500 26.0889 47474.8 43022.9 -1.03535e-15 -7.54039e-18 -5.31174e-16 -2.90091 26.0889 -14.599
2600 26.0921 48958.5 43334.2 -1.13965e-15 -3.2757e-18 -5.83814e-16 -2.90416 26.0921 -14.624
2700 26.0954 50434.4 43640.8 -1.00918e-15 -2.66766e-18 -5.436e-16 -2.90742 26.0954 -14.649
2800 26.0986 51896.3 43942.2 -9.32862e-16 -6.09888e-18 -6.80477e-16 -2.91067 26.0986 -14.674
2900 26.1019 53338.5 44237.6 -8.01248e-16 -3.38559e-18 -7.75539e-16 -2.91393 26.1019 -14.699
3000 26.1052 54755.6 44526.6 -6.11115e-16 1.40903e-18 -8.67652e-16 -2.91718 26.1052 -14.724
3100 26.1084 56142.6 44808.8 -4.06809e-16 5.02482e-18 -8.37368e-16 -2.92044 26.1084 -14.749
3200 26.1117 57494.9 45083.9 -3.12356e-16 1.48593e-18 -6.77901e-16 -2.92369 26.1117 -14.774
3300 26.1149 58808.5 45351.8 -3.59445e-16 -3.77685e-18 -5.79775e-16 -2.92695 26.1149 -14.799
3400 26.1182 60080.1 45612.6 -5.95665e-16 -2.08857e-18 -5.76148e-16 -2.93021 26.1182 -14.824
3500 26.1214 61306.8 45866.5 -6.45969e-16 -1.44411e-18 -5.19358e-16 -2.93346 26.1214 -14.849
3600 26.1247 62486.8 46113.6 -6.02215e-16 -1.09938e-18 -4.2304e-16 -2.93672 26.1247 -14.874
3700 26.1279 63618.5 46354.5 -4.12244e-16 -8.82363e-18 -4.20415e-16 -2.93997 26.1279 -14.899
3800 26.1312 64701.4 46589.4 -2.70681e-16 -7.26159e-18 -2.90961e-16 -2.94323 26.1312 -14.924
3900 26.1345 65735.4 46819.1 -3.50584e-16 -4.41296e-18 -1.97237e-16 -2.94648 26.1345 -14.949
4000 26.1377 66721.1 47044 -4.8029e-16 -6.01858e-18 -3.02308e-16 -2.94974 26.1377 -14.974
4100 26.141 67659.9 47264.7 -9.13905e-16 5.49615e-18 -4.39387e-16 -2.95299 26.141 -14.999
4200 26.1442 68553.5 47481.8 -1.24397e-15 -5.72935e-18 -6.52622e-16 -2.95625 26.1442 -15.024
4300 26.1475 69404.2 47695.8 -1.32625e-15 2.42594e-18 -5.61041e-16 -2.9595 26.1475 -15.049
4400 26.1507 70214.7 47907.4 -1.45961e-15 -2.58795e-18 -6.09965e-16 -2.96276 26.1507 -15.074
4500 26.154 70988.1 48116.7 -1.74654e-15 -2.46925e-19 -7.31701e-16 -2.96601 26.154 -15.099
4600 26.1572 71727.5 48324.4 -1.9251e-15 -2.61427e-18 -8.12629e-16 -2.96927 26.1572 -15.124
4700 26.1605 72436.6 48530.4 -2.02954e-15 -4.60174e-18 -8.26153e-16 -2.97252 26.1605 -15.149
4800 26.1638 73118.7 48735 -2.08351e-15 -5.86626e-18 -9.80544e-16 -2.97578 26.1638 -15.174
4900 26.167 73777.6 48938.1 -2.12665e-15 2.93463e-18 -1.02701e-15 -2.97903 26.167 -15.199
5000 26.1703 74416.5 49139.6 -2.11158e-15 -3.85476e-18 -1.03927e-15 -2.98229 26.1703 -15.224
5100 26.1735 75038.8 49339.1 -1.96409e-15 -7.9864e-18 -1.05484e-15 -2.98554 26.1735 -15.249
5200 26.1768 75647.7 49536.4 -1.77301e-15 5.15429e-19 -1.19045e-15 -2.9888 26.1768 -15.274
5300 26.18 76245.8 49730.8 -1.65847e-15 -8.49574e-18 -1.19984e-15 -2.99205 26.18 -15.299
5400 26.1833 76835.8 49921.6 -1.77658e-15 -5.70629e-19 -1.15763e-15 -2.99531 26.1833 -15.324
5500 26.1865 77419.7 50108.3 -1.45063e-15 -3.80904e-18 -1.03226e-15 -2.99856 26.1865 -15.349
5600 26.1898 77999.5 50289.9 -1.35099e-15 -3.41339e-18 -1.10121e-15 -3.00182 26.1898 -15.374
5700 26.1931 78576.4 50465.7 -1.32373e-15 8.47364e-18 -1.21986e-15 -3.00508 26.1931 -15.399
5800 26.1963 79151.5 50634.7 -1.3684e-15 8.40678e-18 -1.10583e-15 -3.00833 26.1963 -15.424
5900 26.1996 79725.5 50796.1 -1.31859e-15 -3.45505e-18 -1.00971e-15 -3.01159 26.1996 -15.449
6000 26.2028 80298.8 50949.1 -1.26185e-15 -1.04398e-17 -8.07573e-16 -3.01484 26.2028 -15.474
6100 26.2061 80871.4 51092.9 -1.2613e-15 2.21301e-18 -6.23915e-16 -3.0181 26.2061 -15.499
6200 26.2093 81443.2 51226.7 -1.27234e-15 8.52828e-18 -5.74726e-16 -3.02135 26.2093 -15.524
6300 26.2126 82013.6 51349.9 -9.50286e-16 -6.6744e-18 -4.39181e-16 -3.02461 26.2126 -15.549
6400 26.2158 82582.2 51462 -5.71032e-16 -3.64801e-18 -3.30434e-16 -3.02786 26.2158 -15.574
6500 26.2191 83148.2 51562.5 -5.43352e-16 -2.66856e-18 -3.2178e-16 -3.03112 26.2191 -15.599
6600 26.2223 83710.8 51651.4 -7.41132e-16 -2.553e-18 -5.04607e-16 -3.03437 26.2223 -15.624
6700 26.2256 84269.4 51728.3 -3.30695e-16 -2.37233e-18 -4.38479e-16 -3.03763 26.2256 -15.649
6800 26.2289 84823.2 51793.3 -9.55988e-17 3.99054e-18 -4.729e-16 -3.04088 26.2289 -15.674
6900 26.2321 85371.5 51846.7 -3.96045e-16 4.22857e-18 -4.29679e-16 -3.04414 26.2321 -15.699
7000 26.2354 85913.8 51888.7 -5.41388e-16 -8.65228e-18 -5.26427e-16 -3.04739 26.2354 -15.724
7100 26.2386 86449.6 51919.8 -6.45527e-16 -6.28066e-19 -5.17681e-16 -3.05065 26.2386 -15.749
7200 26.2419 86978.6 51940.5 -9.20646e-16 -1.18523e-17 -5.54089e-16 -3.0539 26.2419 -15.774
7300 26.2451 87500.9 51951.5 -7.24732e-16 2.57004e-18 -6.95311e-16 -3.05716 26.2451 -15.799
7400 26.2484 88016.4 51953.5 -9.68342e-16 5.21298e-18 -7.08207e-16 -3.06041 26.2484 -15.824
7500 26.2516 88525.4 51947.4 -9.09026e-16 -7.96448e-19 -5.91711e-16 -3.06367 26.2516 -15.849
7600 26.2549 89028.3 51934 -6.55407e-16 2.52526e-18 -5.00987e-16 -3.06692 26.2549 -15.874
7700 26.2582 89525.6 51914.2 -7.73865e-16 1.07127e-17 -5.51702e-16 -3.07018 26.2582 -15.899
7800 26.2614 90017.9 51888.9 -3.77623e-16 -5.66309e-18 -3.88648e-16 -3.07343 26.2614 -15.924
7900 26.2647 90506.1 51858.9 1.68384e-16 -1.80091e-18 -2.99034e-16 -3.07669 26.2647 -15.949
8000 26.2679 90990.8 51825.1 4.51473e-16 4.02725e-18 -3.52893e-16 -3.07994 26.2679 -15.974
8100 26.2712 91472.8 51788.3 5.53282e-16 -3.7677e-18 -2.00337e-16 -3.0832 26.2712 -15.999
8200 26.2744 91953.2 51749.1 1.1393e-15 3.56059e-18 -1.91911e-16 -3.08646 26.2744 -16.024
8300 26.2777 92432.5 51708.3 1.48059e-15 5.37087e-19 -2.5105e-17 -3.08971 26.2777 -16.049
8400 26.2809 92911.5 51666.2 1.60493e-15 5.99269e-18 1.79729e-16 -3.09297 26.2809 -16.074
8500 26.2842 93390.8 51623.3 1.44512e-15 -3.32291e-18 2.15298e-16 -3.09622 26.2842 -16.099
8600 26.2875 93871.1 51579.9 1.71597e-15 2.43386e-18 3.07386e-16 -3.09948 26.2875 -16.124
8700 26.2907 94352.6 51536.3 1.66686e-15 -6.78606e-18 4.02116e-16 -3.10273 26.2907 -16.149
8800 26.294 94835.6 51492.5 1.19194e-15 3.06558e-19 3.47471e-16 -3.10599 26.294 -16.174
8900 26.2972 95320.3 51448.6 1.17756e-15 -5.49189e-18 6.11672e-16 -3.10924 26.2972 -16.199
9000 26.3005 95806.7 51404.4 1.1179e-15 2.40219e-19 6.69126e-16 -3.1125 26.3005 -16.224
9100 26.3037 96294.6 51359.9 1.49196e-15 8.42927e-18 4.80622e-16 -3.11575 26.3037 -16.249
9200 26.307 96783.7 51314.6 1.60522e-15 6.10365e-18 4.99738e-16 -3.11901 26.307 -16.274
9300 26.3102 97273.6 51268.4 1.56891e-15 -6.66703e-18 5.43972e-16 -3.12226 26.3102 -16.299
9400 26.3135 97763.9 51220.9 1.23338e-15 8.31312e-19 5.33655e-16 -3.12552 26.3135 -16.324
9500 26.3167 98254.1 51171.8 1.60842e-15 4.67725e-18 4.47995e-16 -3.12877 26.3167 -16.349
9600 26.32 98743.4 51120.5 1.73197e-15 -2.69567e-18 4.85263e-16 -3.13203 26.32 -16.374
9700 26.3233 99231.4 51066.8 1.7691e-15 9.90276e-18 4.84624e-16 -3.13528 26.3233 -16.399
9800 26.3265 99717.4 51010.1 1.71285e-15 8.01225e-19 7.11194e-16 -3.13854 26.3265 -16.424
